EMPIRE_BM_TECH_1,帝国テクノロジーレベル 1 で入手可能な闇市場アイテムです。
EMPIRE_BM_TECH_2,帝国テクノロジーレベル 2 で入手可能な闇市場アイテムです。
EMPIRE_BM_TECH_3,帝国テクノロジーレベル 3 で入手可能な闇市場アイテムです。
EMPIRE_BM_TECH_4,帝国テクノロジーレベル 4 で入手可能な闇市場アイテムです。
EMPIRE_BM_TECH_5,帝国テクノロジーレベル 5 で入手可能な闇市場アイテムです。
Hint_IDC_CUSTOM_CAMPAIGN_BUTTON,銀河全域の諸星系にて、 帝国・反乱軍およびザン・コンソーシアムが繰り出す宇宙・地上戦を体験できるのだ。
Hint_IDC_NEW_CAMPAIGN_BUTTON,タイベル・ザンの台頭過程から、 銀河犯罪界の支配確立までを描くストーリー形式シナリオも堪能できるのだ。
Hint_IDC_NEW_CAMPAIGN_BUTTON_DEMO,[TBL]
Hint_IDC_NEW_FIGHT_BUTTON,戦闘を開始します。
Hint_IDC_SKIRMISH_GAMES_BUTTON,銀河上における単一戦闘のみを行うことで、 帝国軍・反乱軍およびザン・コンソーシアムの勢力を体験できるのだ。
Hint_IDC_SKIRMISH_GAMES_BUTTON_DEMO,[TBL]
LANGUAGE_CHINESE,中国語
LANGUAGE_ENGLISH,英語
LANGUAGE_FRENCH,フランス語
LANGUAGE_GERMAN,ドイツ語
LANGUAGE_ITALIAN,イタリア語
LANGUAGE_JAPANESE,日本語
LANGUAGE_KOREAN,韓国語
LANGUAGE_POLISH,ポーランド語
LANGUAGE_RUSSIAN,ロシア語
LANGUAGE_SPANISH,スペイン語
LANGUAGE_UKRAINIAN,ウクライナ語
MB_LAND_PLANET_ALZOCIII_INTIMIDATION,アルゾシイィ星では食糧担当委員が重要な裏方権力者となっている。 彼を我々の支配下に置けば、 ザン・コンソーシアムは好き勝手に鉱物採掘量を変更できるようになる。 我らが汚染者はその目的達成のため予備兵から構成される奇襲部隊を編成した。
MB_LAND_PLANET_ANAXES_INTIMIDATION,アナクシーズ星には艦隊司令官フランカーが駐留している。 彼の屋敷警備兵を排除し彼自身に負傷を与えれば、 銀河中の数多くの船長たちの間に恐怖心が広まることになるだろう。 我らが汚染者はその目的達成のため予備兵から構成される奇襲部隊を編成した。
MB_LAND_PLANET_BESTINE_KIDNAPPING,ベスティン星では海原一面に巨大な造船所群が広がっている。 司令官ファランを誘拐すれば、 この惑星とその造船所全体の勢力を制圧できるようになる。 彼が知る機密情報は銀河全域に関わるものであり間もなく我々の所有物となる予定だ。 我らが汚染者はその目的達成のため予備兵から構成される奇襲部隊を編成した。
MB_LAND_PLANET_BOTHAWUI_INTIMIDATION,銀河議員ポロ・セ'ラブを脅迫することにより、 多くのボサウィ関連惑星における重要情報や政治的権力がザン・コンソーシアムの手に渡ることになる。 我らが汚染者はその目的達成のため予備兵から構成される奇襲部隊を編成した。
MB_LAND_PLANET_BYSS_KIDNAPPING,極めて危険な世界であるビス星は皇帝に重宝されており、 惑星総督キリスを誘拐することで多額の報酬が得られることになる。 我らが汚染者はその目的達成のため予備兵から構成される奇襲部隊を編成した。
MB_LAND_PLANET_CARIDA_KIDNAPPING,ダルケン・ホル提督を捕獲すれば、 帝国士官学校周辺での商売活動が自由に行えるようになる。 我らが汚染者はその目的達成のため予備兵から構成される奇襲部隊を編成した。
MB_LAND_PLANET_DANTOOINE_INTIMIDATION,この惑星には小規模で分散した集落群しか存在しないため、 現地住民をザン・コンソーシアム支持へと誘導するのは容易なはずだ。 我らが汚染者はその目的達成のため予備兵から構成される奇襲部隊を編成した。
MB_LAND_PLANET_FELUCIA_TUTORIAL,外縁星域に位置するフェルーシア星はかつて商業ギルドが主要拠点としていた地である。 植民化の難易度が高く、 菌類生命体や巨大な原生植物群が生息する不快で湿潤な環境下では初期農耕試みは困難を極めた。 こうした条件から Kway Teow、 Har Gau および Niango といった主要都市しか形成されず、 現在では富裕層と彼らの贅沢な願望を満たす労働者たちのための異国情緒溢れる休養地となっている。
MB_LAND_PLANET_HONOGHR_INTIMIDATE,これがフェンの能力を試す絶好の機会となる。 惑星へ赴きダース・ベイダーの給与体制から離脱させるようノグリ死の親衛隊員たちに賄賂を渡さなければならない。 こうした強力な戦闘員群の中から少数派閥の同盟関係を慎重に組み替えることにより多大な報酬が手に入るとされている。 我らが汚染者はその目的達成のため予備兵から構成される奇襲部隊を編成した。
MB_LAND_PLANET_HONOGHR_INTIMIDATE_STORY,これがフェンの能力を試す絶好の機会となる。 惑星へ赴きダース・ベイダーの給与体制から離脱させるようノグリ死の親衛隊員たちに賄賂を渡さなければならない。 こうした強力な戦闘員群の中から少数派閥の同盟関係を慎重に組み替えることにより多大な報酬が手に入るとされている。 我らが汚染者はその目的達成のため予備兵から構成される奇襲部隊を編成した。
MB_LAND_PLANET_KUAT_KIDNAPPING,ビーヴェル・レメリスクは卓越した宇宙船設計士であり、 ザン・コンソーシアム支援のため完璧な標的である。 我らが汚染者はその目的達成のため予備兵から構成される奇襲部隊を編成した。
MB_LAND_PLANET_MUUNILINST_KIDNAPPING,サン・ヒル議長はこの星に所在する銀河銀行クランの首脳だ。 彼を確保することでこの地区におけるザン・コンソーシアムの事業拡大が可能となる。 我らが汚染者はその目的達成のため予備兵から構成される奇襲部隊を編成した。
MB_LAND_PLANET_NABOO_INTIMIDATION,プラズマ・エネルギー取引委員会の議長を脅すことで、 我々はこの惑星上でもっとも強力な集団に浸透していくことができる。 汚染者が招集した予備軍の突撃部隊が我々の目的達成のため活動中だ。
MB_LAND_PLANET_NALHUTTA_KIDNAPPING,宇宙港の所長を誘拐させることでナル・シャッダーへの鉱物供給を阻止する。 資源が処理されなくなれば、 敵軍の戦艦建造能力も著しく制限されることになる。 汚染者は予備軍から突撃部隊を編成し任務遂行に向かわせている。
MB_LAND_PLANET_SALEUCAMI_INTIMIDATION,コーン・イース知事を脅すことが、 サレウカミでの汚職推進の条件となる。 彼の体の各部を損傷させ数ヶ月間病院で再生させることにより、 我々が特別な要求に応じてほしいというメッセージが伝わるのだ。 汚染者は予備軍から突撃部隊を編成し任務遂行に向かわせている。
MB_LAND_PLANET_SHOLA_02,[TBL]
MB_LAND_PLANET_TARIS_INTIMIDATION,ガンガンの剣士 「 トウィッチ 」 は脅迫の格好の対象だ。 ザン・コンソーシアムが彼を怖がらせることができれば、 世界全体も速やかに屈服するだろう。 汚染者は予備軍から突撃部隊を編成し任務遂行に向かわせている。
MB_LAND_PLANET_THYFERRA_KIDNAPPING,ウンガー・ダリスはこの惑星で台頭中の政治的勢力だ。 彼を誘拐することによりあらゆる社会階層への扉が開かれることになる。 汚染者は予備軍から突撃部隊を編成し任務遂行に向かわせている。
MB_LAND_PLANET_UTAPAU_KIDNAPPING,フェイ一族はこの惑星で長らく指導的地位を維持してきた。 ガルナック・フェイのような人物を誘拐することにより、 この地域全体に 「 本当に怖じむべき相手 」 が何者かを知らしめることができる。 汚染者は予備軍から突撃部隊を編成し任務遂行に向かわせている。
MB_SPACE_PLANET_AETENII_PIRACY,エイテン IIには希少で減少傾向にあるスティギウム結晶の鉱床があり、 それは各種宇宙船用隠密技術構築の材料として利用される。 近傍月面にこのような海賊団を設置すればコンソーシアムに莫大な報酬がもたらされることになるだろう。 汚染者は予備軍から突撃部隊を編成し任務遂行に向かわせている。
MB_SPACE_PLANET_BESPIN_PIRACY,ベスピンは海賊行為に最適な場所だ。 このガス巨人には多数の浮遊式待機基地があり、 船両が隠れるのに好適な環境を提供している。 システム内では常時チバンナ・ガスの輸送が行われており、 貨物輸送船から同ガスを奪取することがコンソーシアム協力者達にとって有益となるだろう。 汚染者は予備軍から突撃部隊を編成し任務遂行に向かわせている。
MB_SPACE_PLANET_BESPIN_PIRACY_STORY,ベスピンは海賊行為に最適な場所だ。 このガス巨人には多数の浮遊式待機基地があり、 船両が隠れるのに好適な環境を提供している。 システム内では常時チバンナ・ガスの輸送が行われており、 貨物輸送船から同ガスを奪取することがコンソーシアム協力者達にとって有益となるだろう。 私は予備軍から突撃部隊を編成し任務遂行に向かわせている。
MB_SPACE_PLANET_CORELLIA_PIRACY,コレリア上空には多数の製造用人工衛星が存在する。 それらをいくつか破壊することにより我々はこの惑星に対する支配力を確立できるだろう。 また、 軍団所属の部隊も経験値向上という恩恵を受けられる。 汚染者は予備軍から突撃部隊を編成し任務遂行に向かわせている。
MB_SPACE_PLANET_CORULAG_PIRACY,ボルミア・セクター屈指の有力惑星であり、 広範囲にわたる資源が海賊行為に好適な環境を提供している。 汚染者は予備軍から突撃部隊を編成し任務遂行に向かわせている。
MB_SPACE_PLANET_FELUCIA_TUTORIAL,外縁星域に位置するフェルーシア星はかつて商業ギルドが主要拠点としていた地である。 植民化の難易度が高く、 菌類生命体や巨大な原生植物群が生息する不快で湿潤な環境下では初期農耕試みは困難を極めた。 こうした条件から Kway Teow、 Har Gau および Niango といった主要都市しか形成されず、 現在では富裕層と彼らの贅沢な願望を満たす労働者たちのための異国情緒溢れる休養地となっている。
MB_SPACE_PLANET_FONDOR_PIRACY,複数の宇宙ステーションがフォンドール周辺を周回している。 我々はそのうち一つを破壊することで、 近隣惑星におけるザン・コンソーシアムの存在感を示すことに成功した。 我が軍の汚染者たちが予備兵からなる襲撃部隊を編成し、 この目的の達成にあたっている。
